Index,DOI,PageRank Score,Number of Incoming Edges,Number of Outgoing Edges,Text,"How does the incorporation of domain-specific knowledge (e.g., neuroanatomy) into AI models improve the classification accuracy for Alzheimer's disease?",How does the integration of ensemble learning methods enhance the accuracy and reliability of Alzheimer's disease prediction models using brain imaging data?,How does the integration of multiple models enhance the accuracy and reliability of prediction results  for Alzheimer's disease classification?,"How does the use of multimodal data (e.g., combining MRI and PET scans) affect the performance and reliability of AI models in Alzheimer's disease diagnosis?",How does transfer learning from pre-trained models on large-scale image datasets impact the performance of Alzheimer's disease classification models?,What are the challenges and solutions in deploying AI models for real-time Alzheimer's disease diagnosis in clinical settings?,"What are the optimal hyperparameters for Alzheimer's disease classification using transfer learning models, and how do they affect model performance?",What are the optimal hyperparameters for the classification of Alzheimer's disease using transfer learning models?,What are the performance differences observed in the models before and after applying specific improvements  for Alzheimer's disease classification?,What is the most effective configuration or combination of layers that can be added to a model to enhance its performance for image classification problems  for Alzheimer's disease classification?,What performance improvements are observed in deep learning models for Alzheimer's disease classification after applying advanced preprocessing techniques and hyperparameter tuning?,"What role do different preprocessing techniques (e.g., data augmentation, normalization) play in enhancing the performance of deep learning models for Alzheimer's disease classification?",Which combination of convolutional neural network layers and configurations leads to the most significant improvement in the accuracy of Alzheimer's disease classification models?,Which model demonstrates the highest efficiency and accuracy in handling a large volume of brain images for Alzheimer's disease classification?,title,coverDate,abstract,authors,publicationName,citedby_count,scopus_link,authkeywords,copyright,subject_areas,pageRange,year,Bib Citation
355,https://doi.org/10.3390/jimaging7040066,0.000173279,26,44,"(1) Background: Transfer learning refers to machine learning techniques that focus on acquiring knowledge from related tasks to improve generalization in the tasks of interest. In magnetic resonance imaging (MRI), transfer learning is important for developing strategies that address the variation in MR images from different imaging protocols or scanners. Additionally, transfer learning is beneficial for reutilizing machine learning models that were trained to solve different (but related) tasks to the task of interest. The aim of this review is to identify research directions, gaps in knowledge, applications, and widely used strategies among the transfer learning approaches applied in MR brain imaging; (2) Methods: We performed a systematic literature search for articles that applied transfer learning to MR brain imaging tasks. We screened 433 studies for their relevance, and we categorized and extracted relevant information, including task type, application, availability of labels, and machine learning methods. Furthermore, we closely examined brain MRI-specific transfer learning approaches and other methods that tackled issues relevant to medical imaging, including privacy, unseen target domains, and unlabeled data; (3) Results: We found 129 articles that applied transfer learning to MR brain imaging tasks. The most frequent applications were dementia-related classification tasks and brain tumor segmentation. The majority of articles utilized transfer learning techniques based on convolutional neural networks (CNNs). Only a few approaches utilized clearly brain MRI-specific methodology, and considered privacy issues, unseen target domains, or unlabeled data. We proposed a new categorization to group specific, widely-used approaches such as pretraining and fine-tuning CNNs; (4) Discussion: There is increasing interest in transfer learning for brain MRI. Well-known public datasets have clearly contributed to the popularity of Alzheimer’s diagnostics/prognostics and tumor segmentation as applications. Likewise, the availability of pretrained CNNs has promoted their utilization. Finally, the majority of the surveyed studies did not examine in detail the interpretation of their strategies after applying transfer learning, and did not compare their approach with other transfer learning approaches.",0.38335705,0.4283108,0.38587943,0.44311598,0.56792986,0.384165,0.5431147,0.5187936,0.3863067,0.39925733,0.4646855,0.458055,0.3927985,0.3941094,Transfer learning in magnetic resonance brain imaging: A systematic review,4/1/2021,,Juan Miguel Valverde; Vandad Imani; Ali Abdollahzadeh; Riccardo De Feo; Mithilesh Prakash; Robert Ciszek; Jussi Tohka,Journal of Imaging,59,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85108256956&origin=inward,,,,,2021,"@article{,
  author = {Juan Miguel Valverde; Vandad Imani; Ali Abdollahzadeh; Riccardo De Feo; Mithilesh Prakash; Robert Ciszek; Jussi Tohka},
  title = {Transfer learning in magnetic resonance brain imaging: A systematic review},
  journal = {Journal of Imaging},
  year = {2021},
  doi = {10.3390/jimaging7040066}
}  url = {https://doi.org/10.3390/jimaging7040066}
}"
221,https://doi.org/10.3390/app6060169,0.000275472,42,24,"(Aim) Classification of brain images as pathological or healthy case is a key pre-clinical step for potential patients. Manual classification is irreproducible and unreliable. In this study, we aim to develop an automatic classification system of brain images in magnetic resonance imaging (MRI). (Method) Three datasets were downloaded from the Internet. Those images are of T2-weighted along axial plane with size of 256 × 256. We utilized an s-level decomposition on the basis of dual-tree complex wavelet transform (DTCWT), in order to obtain 12s ""variance and entropy (VE)"" features from each subband. Afterwards, we used support vector machine (SVM) and its two variants: the generalized eigenvalue proximal SVM (GEPSVM) and the twin SVM (TSVM), as the classifiers. In all, we proposed three novel approaches: DTCWT + VE + SVM, DTCWT + VE + GEPSVM, and DTCWT + VE + TSVM. (Results) The results showed that our ""DTCWT + VE + TSVM"" obtained an average accuracy of 99.57%, which was not only better than the two other proposed methods, but also superior to 12 state-of-the-art approaches. In addition, parameter estimation showed the classification accuracy achieved the largest when the decomposition level s was assigned with a value of 1. Further, we used 100 slices from real subjects, and we found our proposed method was superior to human reports from neuroradiologists. (Conclusions) This proposed system is effective and feasible.",0.446244,0.5092108,0.48966125,0.45881274,0.47882694,0.42242205,0.45650938,0.44751662,0.46798795,0.5066399,0.49902937,0.4606945,0.49275923,0.5869751,Dual-tree complex wavelet transform and twin support vector machine for pathological brain detection,1/1/2016,,Shuihua Wang; Siyuan Lu; Zhengchao Dong; Jiquan Yang; Ming Yang; Yudong Zhang,Applied Sciences (Switzerland),110,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84973547836&origin=inward,,,,,2016,"@article{,
  author = {Shuihua Wang; Siyuan Lu; Zhengchao Dong; Jiquan Yang; Ming Yang; Yudong Zhang},
  title = {Dual-tree complex wavelet transform and twin support vector machine for pathological brain detection},
  journal = {Applied Sciences (Switzerland)},
  year = {2016},
  doi = {10.3390/app6060169}
}  url = {https://doi.org/10.3390/app6060169}
}"
1950,https://doi.org/10.1002/hbm.24783,4.02E-05,6,9,"18F-fluorodeoxyglucose positron emission tomography (FDG-PET) enables in-vivo capture of the topographic metabolism patterns in the brain. These images have shown great promise in revealing the altered metabolism patterns in Alzheimer's disease (AD). The AD pathology is progressive, and leads to structural and functional alterations that lie on a continuum. There is a need to quantify the altered metabolism patterns that exist on a continuum into a simple measure. This work proposes a 3D convolutional neural network with residual connections that generates a probability score useful for interpreting the FDG-PET images along the continuum of AD. This network is trained and tested on images of stable normal control and stable Dementia of the Alzheimer's type (sDAT) subjects, achieving an AUC of 0.976 via repeated fivefold cross-validation. An independent test set consisting of images in between the two extreme ends of the DAT spectrum is used to further test the generalization performance of the network. Classification performance of 0.811 AUC is achieved in the task of predicting conversion of mild cognitive impairment to DAT for conversion time of 0–3 years. The saliency and class activation maps, which highlight the regions of the brain that are most important to the classification task, implicate many known regions affected by DAT including the posterior cingulate cortex, precuneus, and hippocampus.",0.52994794,0.54606575,0.5540076,0.5942201,0.5726463,0.500034,0.50851125,0.50459284,0.5351142,0.5690978,0.5646985,0.54100573,0.5824257,0.58584255,Quantifying brain metabolism from FDG-PET images into a probability of Alzheimer's dementia score,1/1/2020,,Evangeline Yee; Karteek Popuri; Mirza Faisal Beg,Human Brain Mapping,36,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85072186070&origin=inward,,,,16-May,2020,"@article{,
  author = {Evangeline Yee; Karteek Popuri; Mirza Faisal Beg},
  title = {Quantifying brain metabolism from FDG-PET images into a probability of Alzheimer's dementia score},
  journal = {Human Brain Mapping},
  year = {2020},
  doi = {10.1002/hbm.24783}
}  url = {https://doi.org/10.1002/hbm.24783}
}"
1462,https://doi.org/10.1109/iembs.2011.6091772,4.91E-05,1,0,"3D functional neuroimaging is used in the diagnosis and management of neurological disorders. The efficient management and analysis of these large imaging datasets has prompted research in the field of content-based image retrieval. In this context, our generalized regional disorder-sensitive- weighting (DSW) scheme gives greater weight to brain regions affected by the diseases than regions that are relatively spared. We used two DSW matrices; one matrix is based on the occurrence maps that highlight abnormal functional regions; the other is based on the regional Fisher discriminant ratio. Our results suggest that our DSW matrices enhance neuroimaging data retrieval and provide a flexible weighting solution for the clinical analysis of different types of neurological disorders. © 2011 IEEE.",0.44807136,0.45735943,0.41216603,0.45632458,0.40036213,0.36778903,0.35030437,0.34924936,0.39620563,0.42070982,0.3878504,0.42095342,0.37329248,0.48586798,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found,Not found
1850,https://doi.org/10.1038/s41598-020-62378-0,4.13E-05,6,4,"A 360-area surface-based cortical parcellation is extended to study mild cognitive impairment (MCI) and Alzheimer’s disease (AD) from healthy control (HC) using the joint human connectome project multi-modal parcellation (JHCPMMP) proposed by us. We propose a novel classification method named as JMMP-LRR to accurately identify different stages toward AD by integrating the JHCPMMP with the logistic regression-recursive feature elimination (LR-RFE). In three-group classification, the average accuracy is 89.0% for HC, MCI, and AD compared to previous studies using other cortical separation with the best classification accuracy of 81.5%. By counting the number of brain regions whose feature is in the feature subset selected with JMMP-LRR, we find that five brain areas often appear in the selected features. The five core brain areas are Fusiform Face Complex (L-FFC), Area 10d (L-10d), Orbital Frontal Complex (R-OFC), Perirhinal Ectorhinal (L-PeEc) and Area TG dorsal (L-TGd, R-TGd). The features corresponding to the five core brain areas are used to form a new feature subset for three classifications with the average accuracy of 80.0%. Results demonstrate the importance of the five core brain regions in identifying different stages toward AD. Experiment results show that the proposed method has better accuracy for the classification of HC, MCI, AD, and it also proves that the division of brain regions using JHCPMMP is more scientific and effective than other methods.",0.5165796,0.53082097,0.5692676,0.5298861,0.51839244,0.44654775,0.50675136,0.49909258,0.5499691,0.54454327,0.554083,0.49374074,0.56522566,0.5829228,"Alzheimer’s disease, mild cognitive impairment, and normal aging distinguished by multi-modal parcellation and machine learning",12/1/2020,,Jinhua Sheng; Meiling Shao; Qiao Zhang; Rougang Zhou; Luyun Wang; Yu Xin,Scientific Reports,22,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85082470835&origin=inward,,,,,2020,"@article{,
  author = {Jinhua Sheng; Meiling Shao; Qiao Zhang; Rougang Zhou; Luyun Wang; Yu Xin},
  title = {Alzheimer’s disease, mild cognitive impairment, and normal aging distinguished by multi-modal parcellation and machine learning},
  journal = {Scientific Reports},
  year = {2020},
  doi = {10.1038/s41598-020-62378-0}
}  url = {https://doi.org/10.1038/s41598-020-62378-0}
}"
1197,https://doi.org/10.1016/j.bbr.2019.03.004,5.85E-05,9,6,"A 360-area surface-based cortical parcellation was recently generated using multimodal data in a group average of 210 healthy young adults from the Human Connectome Project (HCP). In order to automatically and accurately identify mild cognitive impairment (MCI) at its two levels (early MCI and late MCI), Alzheimer's disease (AD) and healthy control (HC), a novel joint HCP MMP method was first proposed to delineate the cortical architecture and function connectivity in a group of non healthy adults. The proposed method was applied to register a dataset of 96 resting-state functional connectomes from the Alzheimer's Disease Neuroimaging Initiative (ADNI) to Connectivity Informatics Technology Initiative (CIFTI) space and parcellated brain into human connectome project multi-modal parcellation (HCPMMP) with 360 areas. Various network features in each node of the connectivity network were considered as the candidate features for classification.The fine-grained multi-modal based on HCP-MMP combined with machine learning in identification for EMCI, LMCI, AD and HC. Applying various network features, including strength, betweenness centrality, clustering coefficient, local efficiency, eigenvector centrality, etc, we trained and tested several machine learning models. Thousands of features were processed by filter and wrapper feature selection procedures, and finally there were thirty features to be selected to achieve classification accuracies of 93.8% for EMCI vs. HC, 95.8% for LMCI vs. HC, 95.8% for AD vs. HC, and 91.7% for LMCI vs. AD, respectively by using support vector machine (SVM) algorithm. Most of the selected features locate in the region of temporal or cingulate cortex. Compared with previous studies, our results demonstrate the superiority of the proposed method over existing techniques.",0.488377,0.5064333,0.5400024,0.53518945,0.5006231,0.45891982,0.4999326,0.49536383,0.5258935,0.5041064,0.54348546,0.48230737,0.5411515,0.5750821,A novel joint HCPMMP method for automatically classifying Alzheimer's and different stage MCI patients,6/3/2019,,Jinhua Sheng; Bocheng Wang; Qiao Zhang; Qingqiang Liu; Yangjie Ma; Weixiang Liu; Meiling Shao; Bin Chen,Behavioural Brain Research,42,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85063013213&origin=inward,,,,210-221,2019,"@article{,
  author = {Jinhua Sheng; Bocheng Wang; Qiao Zhang; Qingqiang Liu; Yangjie Ma; Weixiang Liu; Meiling Shao; Bin Chen},
  title = {A novel joint HCPMMP method for automatically classifying Alzheimer's and different stage MCI patients},
  journal = {Behavioural Brain Research},
  year = {2019},
  doi = {10.1016/j.bbr.2019.03.004}
}  url = {https://doi.org/10.1016/j.bbr.2019.03.004}
}"
1579,https://doi.org/10.1016/j.neuroimage.2009.02.043,4.73E-05,1,0,"A brain image registration algorithm, referred to as RABBIT, is proposed to achieve fast and accurate image registration with the help of an intermediate template generated by a statistical deformation model. The statistical deformation model is built by principal component analysis (PCA) on a set of training samples of brain deformation fields that warp a selected template image to the individual brain samples. The statistical deformation model is capable of characterizing individual brain deformations by a small number of parameters, which is used to rapidly estimate the brain deformation between the template and a new individual brain image. The estimated deformation is then used to warp the template, thus generating an intermediate template close to the individual brain image. Finally, the shape difference between the intermediate template and the individual brain is estimated by an image registration algorithm, e.g., HAMMER. The overall registration between the template and the individual brain image can be achieved by directly combining the deformation fields that warp the template to the intermediate template, and the intermediate template to the individual brain image. The algorithm has been validated for spatial normalization of both simulated and real magnetic resonance imaging (MRI) brain images. Compared with HAMMER, the experimental results demonstrate that the proposed algorithm can achieve over five times speedup, with similar registration accuracy and statistical power in detecting brain atrophy. © 2009 Elsevier Inc. All rights reserved.",0.30879202,0.3663492,0.33117867,0.3122816,0.29950485,0.30128324,0.28945345,0.2776218,0.3214598,0.30136728,0.30634862,0.30964547,0.2696628,0.45388418,RABBIT: Rapid alignment of brains by building intermediate templates,10/1/2009,,Songyuan Tang; Yong Fan; Guorong Wu; Minjeong Kim; Dinggang Shen,NeuroImage,64,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=67651154142&origin=inward,,,,1277-1287,2009,"@article{,
  author = {Songyuan Tang; Yong Fan; Guorong Wu; Minjeong Kim; Dinggang Shen},
  title = {RABBIT: Rapid alignment of brains by building intermediate templates},
  journal = {NeuroImage},
  year = {2009},
  doi = {10.1016/j.neuroimage.2009.02.043}
}  url = {https://doi.org/10.1016/j.neuroimage.2009.02.043}
}"
119,https://doi.org/10.1093/brain/awp091,0.000590608,92,6,"A challenge in developing informative neuroimaging biomarkers for early diagnosis of Alzheimers disease is the need to identify biomarkers that are evident before the onset of clinical symptoms, and which have sufficient sensitivity and specificity on an individual patient basis. Recent literature suggests that spatial patterns of brain atrophy discriminate amongst Alzheimers disease, mild cognitive impairment (MCI) and cognitively normal (CN) older adults with high accuracy on an individual basis, thereby offering promise that subtle brain changes can be detected during prodromal Alzheimers disease stages. Here, we investigate whether these spatial patterns of brain atrophy can be detected in CN and MCI individuals and whether they are associated with cognitive decline. Images from the Alzheimers Disease Neuroimaging Initiative (ADNI) were used to construct a pattern classifier that recognizes spatial patterns of brain atrophy which best distinguish Alzheimers disease patients from CN on an individual person basis. This classifier was subsequently applied to longitudinal magnetic resonance imaging scans of CN and MCI participants in the Baltimore Longitudinal Study of Aging (BLSA) neuroimaging study. The degree to which Alzheimers disease-like patterns were present in CN and MCI subjects was evaluated longitudinally in relation to cognitive performance. The oldest BLSA CN individuals showed progressively increasing Alzheimers disease-like patterns of atrophy, and individuals with these patterns had reduced cognitive performance. MCI was associated with steeper longitudinal increases of Alzheimers disease-like patterns of atrophy, which separated them from CN (receiver operating characteristic area under the curve equal to 0.89). Our results suggest that imaging-based spatial patterns of brain atrophy of Alzheimers disease, evaluated with sophisticated pattern analysis and recognition methods, may be useful in discriminating among CN individuals who are likely to be stable versus those who will show cognitive decline. Future prospective studies will elucidate the temporal dynamics of spatial atrophy patterns and the emergence of clinical symptoms.",0.54585177,0.5451223,0.55005306,0.53706145,0.537788,0.5146474,0.49321914,0.48314133,0.5838497,0.5378051,0.5358675,0.51176107,0.5290854,0.56650776,Longitudinal progression of Alzheimers-like patterns of atrophy in normal older adults: The SPARE-AD index,8/1/2009,,Christos Davatzikos; Feng Xu; Yang An; Yong Fan; Susan M. Resnick,Brain,226,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=67749130881&origin=inward,,,,2026-2035,2009,"@article{,
  author = {Christos Davatzikos; Feng Xu; Yang An; Yong Fan; Susan M. Resnick},
  title = {Longitudinal progression of Alzheimers-like patterns of atrophy in normal older adults: The SPARE-AD index},
  journal = {Brain},
  year = {2009},
  doi = {10.1093/brain/awp091}
}  url = {https://doi.org/10.1093/brain/awp091}
}"
1106,https://doi.org/10.1007/s11042-022-12242-2,6.47E-05,9,60,"A computer-aided diagnosis system is one of the crucial decision support tools under the medical imaging scope. It has recently emerged as a powerful way to diagnose Alzheimer’s Disease (AD) from structural magnetic resonance imaging scans. However, due to the deficit of recognition memory in the Mild Cognitive Impairment (MCI) stage, semantic feature ambiguity, and high inter-class visual similarities problems, computer-aided diagnosis of AD remains challenging. To bridge these gaps, this paper proposed a hippocampus analysis method based on a novel 3D convolutional neural network fusion strategy, called Bidirectional Gated 3D Multi-scale Feature Fusion (BG-3DM2F). The suggested BG-3DM2F framework consists of two modules: 3D Multi-Scale Chained Network (3DMS-ChaineNet) and Bidirectional Gated Recurrent Fusion Unit (Bi-GRFU). The 3DMS-ChaineNet architecture is introduced to design the subtle features and capture the variations in hippocampal atrophy, while the Bi-GRFU scheme is investigated to store 3DMS-ChaineNet levels in the forward and backward fashion and retain them in the decision-making process. For validation, our solution is completely evaluated on the public Alzheimer’s Disease Neuroimaging Initiative (ADNI) dataset. Practically, we conducted empirical evaluations to verify the effect of BG-3DM2F components. In comparison with the current state-of-the-art methods, the experiments show that our proposed approach provides efficient results, achieving the accuracies of 98.12%, 95.26%, and 96.97% for binary classification of Normal Control (NC) versus AD, AD versus MCI, and NC versus MCI, respectively. Therefore, we can conclude that our proposed BG-3DM2F system has the potential to dramatically improve the conventional classification methods for assisting clinical decision-making.",0.5479442,0.54546887,0.5606719,0.57112586,0.5186851,0.5367482,0.46952015,0.47100547,0.50142694,0.5607087,0.54263574,0.51805425,0.58344656,0.5972307,BG-3DM2F: Bidirectional gated 3D multi-scale feature fusion for Alzheimer’s disease diagnosis,3/1/2022,,Ibtissam Bakkouri; Karim Afdel; Jenny Benois-Pineau; Gwénaëlle Catheline For the Alzheimer’s Disease Neuroimaging Initiative,Multimedia Tools and Applications,15,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85124835048&origin=inward,,,,10743-10776,2022,"@article{,
  author = {Ibtissam Bakkouri; Karim Afdel; Jenny Benois-Pineau; Gwénaëlle Catheline For the Alzheimer’s Disease Neuroimaging Initiative},
  title = {BG-3DM2F: Bidirectional gated 3D multi-scale feature fusion for Alzheimer’s disease diagnosis},
  journal = {Multimedia Tools and Applications},
  year = {2022},
  doi = {10.1007/s11042-022-12242-2}
}  url = {https://doi.org/10.1007/s11042-022-12242-2}
}"
143,https://doi.org/10.1016/j.neucom.2018.09.071,0.000478085,74,4,"A data-driven machine deep learning approach is proposed for differentiating subjects with Alzheimer's Disease (AD), Mild Cognitive Impairment (MCI) and Healthy Control (HC), by only analyzing noninvasive scalp EEG recordings. The methodology here proposed consists of evaluating the power spectral density (PSD) of the 19-channels EEG traces and representing the related spectral profiles into 2-d gray scale images (PSD-images). A customized Convolutional Neural Network with one processing module of convolution, Rectified Linear Units (ReLu) and pooling layer (CNN1) is designed to extract from PSD-images some suitable features and to perform the corresponding two and three-ways classification tasks. The resulting CNN is shown to provide better classification performance when compared to more conventional learning machines; indeed, it achieves an average accuracy of 89.8% in binary classification and of 83.3% in three-ways classification. These results encourage the use of deep processing systems (here, an engineered first stage, namely the PSD-image extraction, and a second or multiple CNN stage) in challenging clinical frameworks.",0.52002656,0.5314667,0.5441442,0.511151,0.5252374,0.53471386,0.49951607,0.5080229,0.5469817,0.5704712,0.605147,0.5492656,0.61054176,0.589877,A Convolutional Neural Network approach for classification of dementia stages based on 2D-spectral representation of EEG recordings,1/5/2019,,Cosimo Ieracitano; Nadia Mammone; Alessia Bramanti; Amir Hussain; Francesco C. Morabito,Neurocomputing,183,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85054609315&origin=inward,,,,96-107,2019,"@article{,
  author = {Cosimo Ieracitano; Nadia Mammone; Alessia Bramanti; Amir Hussain; Francesco C. Morabito},
  title = {A Convolutional Neural Network approach for classification of dementia stages based on 2D-spectral representation of EEG recordings},
  journal = {Neurocomputing},
  year = {2019},
  doi = {10.1016/j.neucom.2018.09.071}
}  url = {https://doi.org/10.1016/j.neucom.2018.09.071}
}"
