Title,Link,Abstract
(1) Enhancing Alzheimer's Disease Classification with Transfer Learning: Finetuning a Pre-trained Algorithm,https://typeset.io/papers/enhancing-alzheimer-s-disease-classification-with-transfer-wwhul3svvt,"Abstract: Objective:: The increasing longevity of the population has made Alzheimer's disease (AD) a significant public health concern. However, the challenge of accurately distinguishing different disease stages due to limited variability within the same stage and the potential for errors in manual classification highlights the need for more precise approaches to classifying AD stages. In the field of deep learning, the ResNet50V2 model stands as a testament to its exceptional capabilities in image classification tasks. Materials:: The dataset employed in this study was sourced from Kaggle and consisted of 6400 MRI images that were meticulously collected and rigorously verified to assure their precision. The selection of images was conducted with great attention to detail, drawing from a diverse array of sources. Methods:: This study focuses on harnessing the potential of this model for AD classification, a task that relies on extracting disease-specific features. Furthermore, to achieve this, a multi-class classification methodology is employed, using transfer learning and fine-tuning of layers to adapt the pre-trained ResNet50V2 model for AD classification. Notably, the impact of various input layer sizes on model performance is investigated, meticulously striking a balance between capacity and computational efficiency. The optimal fine-tuning strategy is determined by counting layers within convolution blocks and selectively unfreezing and training individual layers after a designated layer index, ensuring consistency and reproducibility. Custom classification layers, dynamic learning rate reduction, and extensive visualization techniques are incorporated. Results:: The model's performance is evaluated using accuracy, AUC, precision, recall, F1-score, and ROC curves. The comprehensive analysis reveals the model's ability to discriminate between AD stages. Visualization through confusion matrices aided in understanding model behavior. The rounded predicted labels enhanced practical utility Conclusion:: This approach combined empirical research and iterative refinement, resulting in enhanced accuracy and reliability in AD classification. Our model holds promise for real-world applications, achieving an accuracy of 96.18%, showcasing the potential of deep learning in addressing complex medical challenges."
(2) Enhancing Classification of Alzheimer’s Disease using Spatial Attention Mechanism,https://typeset.io/papers/enhancing-classification-of-alzheimers-disease-using-spatial-i4igqgdf68,"Abstract: Aim This study aims to enhance the precision of Alzheimer's disease (AD) detection by integrating Spatial Attention Mechanism into a Convolutional Neural Network (CNN) architecture. Background Alzheimer's disease is a progressive neurodegenerative disorder characterized by abnormal protein deposits in the brain, leading to nerve cell loss and posing a significant global health challenge. Early and accurate detection is crucial for disease management and treatment due to the lack of a cure and the disease's severe progression. Objective The objective of this research is to improve the accuracy of Alzheimer's disease classification using MRI data by implementing a Spatial Attention Mechanism in a CNN architecture. Methods The study utilized T1-weighted MRI data from the OASIS 1 and OASIS 2 datasets. The key innovation is the Spatial Attention layer incorporated within a CNN model, which computes the average of each channel in the input feature map. This layer guides subsequent layers to focus on critical brain regions, enhancing the model's accuracy in differentiating between Alzheimer's disease stages. Results The model achieved a validation accuracy of 99.69% with a sensitivity and specificity of 1.0000, demonstrating its reliability in distinguishing between different stages of Alzheimer's disease. The adaptability of the Spatial Attention layer allows the model to assign higher weights to crucial brain regions, improving its discriminative power. Conclusion The integration of the Spatial Attention Mechanism into the CNN architecture significantly contributes to the early detection of Alzheimer's disease, enabling timely interventions. This innovative approach has the potential to revolutionize Alzheimer's diagnosis by enhancing accuracy and offering a robust solution for classification."
(3) A bilateral filtering-based image enhancement for Alzheimer disease classification using CNN,https://typeset.io/papers/a-bilateral-filtering-based-image-enhancement-for-alzheimer-2vx2g49797,"Abstract: This study aims to develop an optimally performing convolutional neural network to classify Alzheimer’s disease into mild cognitive impairment, normal controls, or Alzheimer’s disease classes using a magnetic resonance imaging dataset. To achieve this, we focused the study on addressing the challenge of image noise, which impacts the performance of deep learning models. The study introduced a scheme for enhancing images to improve the quality of the datasets. Specifically, an image enhancement algorithm based on histogram equalization and bilateral filtering techniques was deployed to reduce noise and enhance the quality of the images. Subsequently, a convolutional neural network model comprising four convolutional layers and two hidden layers was devised for classifying Alzheimer’s disease into three (3) distinct categories, namely mild cognitive impairment, Alzheimer’s disease, and normal controls. The model was trained and evaluated using a 10-fold cross-validation sampling approach with a learning rate of 0.001 and 200 training epochs at each instance. The proposed model yielded notable results, such as an accuracy of 93.45% and an area under the curve value of 0.99 when trained on the three classes. The model further showed superior results on binary classification compared with existing methods. The model recorded 94.39%, 94.92%, and 95.62% accuracies for Alzheimer’s disease versus normal controls, Alzheimer’s disease versus mild cognitive impairment, and mild cognitive impairment versus normal controls classes, respectively."
(4) Enhancing Alzheimer’s disease diagnosis and staging: a multistage CNN framework using MRI,https://typeset.io/papers/enhancing-alzheimers-disease-diagnosis-and-staging-a-1gmptjf8if,"Abstract: This study addresses the pervasive and debilitating impact of Alzheimer’s disease (AD) on individuals and society, emphasizing the crucial need for timely diagnosis. We present a multistage convolutional neural network (CNN)-based framework for AD detection and sub-classification using brain magnetic resonance imaging (MRI). After preprocessing, a 26-layer CNN model was designed to differentiate between healthy individuals and patients with dementia. After detecting dementia, the 26-layer CNN model was reutilized using the concept of transfer learning to further subclassify dementia into mild, moderate, and severe dementia. Leveraging the frozen weights of the developed CNN on correlated medical images facilitated the transfer learning process for sub-classifying dementia classes. An online AD dataset is used to verify the performance of the proposed multistage CNN-based framework. The proposed approach yielded a noteworthy accuracy of 98.24% in identifying dementia classes, whereas it achieved 99.70% accuracy in dementia subclassification. Another dataset was used to further validate the proposed framework, resulting in 100% performance. Comparative evaluations against pre-trained models and the current literature were also conducted, highlighting the usefulness and superiority of the proposed framework and presenting it as a robust and effective AD detection and subclassification method."
(5) Alzheimer’s disease (AD) classification using MRI: A deep ensemble model with modified local pattern feature set,https://typeset.io/papers/alzheimers-disease-ad-classification-using-mri-a-deep-1zd9vvnktm,"Abstract: The Alzheimer disease (AD) is a neurologic brain condition, which affects the cells in the brain and eventually renders a patient incapable of performing routine daily tasks. Due to the outstanding spatial clarity, high access, and strong contrast, MRI has been utilized in analyses pertaining to AD. This work develops an AD classification model using MRI images. Here, preprocessing is done by the Gabor filter. Subsequently, the Improved U-net segmentation model is employed for image segmentation. The features extracted comprises of modified LGXP features, LTP features, and LBP features as well. Finally, the Deep ensemble classifier (DEC) model is proposed for AD classification which combines classifiers such as RNN, DBN, and Deep Maxout Network (DMN). For enhancing the efficiency for classification of AD, the optimal weight of DMN is adjusted using the Self Customized BWO (SC-BWO) model. The outputs from DEC are averaged and the final result is obtained. Finally, the analysis of dice, Jaccard scores is performed to show the betterment of the SC-BWO scheme."
(6) Enhancing Alzheimer's disease Diagnosis with Augmented OASIS-l MRI Data: A Deep Convolutional Neural Network Approach,https://typeset.io/papers/enhancing-alzheimer-s-disease-diagnosis-with-augmented-oasis-3ougwmg5ow,"Abstract: Alzheimer's disease (AD) is a neurodegenerative condition marked by ongoing deterioration of the brain, leading to memory impairment and the degeneration of brain cells. This disorder substantially hinders an individual's capacity to perform daily activities. Despite ongoing research, identifying the precise cause of AD remains a challenge, and effective treatment options are currently limited. Nevertheless, detecting the condition at an early stage could enhance the well-being of those grappling with Alzheimer's disease. In this investigation, we utilize data augmentation methods on magnetic resonance imaging (MRI) scans obtained from the open access series of imaging studies (OASIS)-t repository. To address the issue of data imbalance. Specifically, we aim to enhance the dataset's utility by augmenting the available images. To facilitate accurate classification, this work introduces an innovative to-layer deep convolutional neural network (DCNN). Training this DCNN involves utilizing two distinct sets of datasets. Significantly, our results demonstrate that the augmented dataset, devoid of class imbalance, attains a competitive level of accuracy in comparison to the non-augmented dataset, which inherently exhibits class imbalance. These outcomes emphasize the capacity of data-augmentation to enhance the effectiveness of AD classification models."
(7) Improved neural network with multi-task learning for Alzheimer's disease classification,https://typeset.io/papers/improved-neural-network-with-multi-task-learning-for-e4cnqmlohu,"Abstract: Alzheimer's disease(AD) poses a significant challenge due to its widespread prevalence and the lack of effective treatments, highlighting the urgent need for early detection. This research introduces an enhanced neural network, named ADnet, which is based on the VGG16 model, to detect Alzheimer's disease using two-dimensional MRI slices. ADNet incorporates several key improvements: it replaces traditional convolution with depthwise separable convolution to reduce model parameters, replaces the ReLU activation function with ELU to address potential issues with exploding gradients, and integrates the SE(Squeeze-and-Excitation) module to enhance feature extraction efficiency. In addition to the primary task of MRI feature extraction, ADnet is simultaneously trained on two auxiliary tasks: clinical dementia score regression and mental state score regression. Experimental results demonstrate that compared to the baseline VGG16, ADNet achieves a 4.18% accuracy improvement for AD vs. CN classification and a 6% improvement for MCI vs. CN classification. These findings highlight the effectiveness of ADnet in classifying Alzheimer's disease, providing crucial support for early diagnosis and intervention by medical professionals. The proposed enhancements represent advancements in neural network architecture and training strategies for improved AD classification."
(8) Effective classification of alzheimer disease based on image tractography framework utilizing GM-ABC-NN,https://typeset.io/papers/effective-classification-of-alzheimer-disease-based-on-image-33appm0uii,"Abstract: A progressive neurological disorder that leads to memory loss as well as cognitive decline is called Alzheimer's Disease (AD). Grounded on various factors like symptoms, biomarkers, or disease stages, the classification of AD is done. Yet, the prevailing techniques pose challenges in capturing accurate AD, which results in misdiagnosis or delayed treatment. To overcome these issues, an effective framework for the classification of AD based on image tractography using several algorithms is proposed in this article. Primarily, the dataset comprising AD images undergoes image transformation. Then, to enhance the MRI image quality, the transformed images are pre-processed using Block Matching 3D Filtering (BM3D) and Contrast Limited Adaptive Histogram Equalization (CLAHE) algorithms. Afterward, image tractography followed by brain tissue segmentation is done utilizing the Cauchy-Steiner Weighted Fuzzy C Means (CauSt-FCM) algorithm. Then, by utilizing the Cosine Non-Negative Kernel Regression (CosNNK) algorithm, graph construction is done. Lastly, for the feature selection and validation process, the Premature Singer Archerfish Hunting Optimizer (PreS-AHO) algorithm and Analysis of Variance (ANOVA) analysis are used. Thereafter, the AD stages are classified by using the Gaussian Mixture Alpha-Beta Convolutional Neural Network (GM-ABC-NN) algorithm, The proposed system attains superior accuracy (97.56%), precision (97.55%), and recall (97.57%)."
(9) Lightweight neural network for Alzheimer's disease classification using multi-slice sMRI.,https://typeset.io/papers/lightweight-neural-network-for-alzheimer-s-disease-388i13c6i4,"Abstract: Alzheimer's disease (AD) is a progressive neurodegenerative disease. Early detection and intervention are crucial in preventing the progression of AD. To achieve efficient and scalable AD auto-detection based on structural Magnetic Resonance Imaging (sMRI), a lightweight neural network using multi-slice sMRI is proposed in this paper. The backbone for feature extraction is based on ShuffleNet V1 architecture, which is effective for overcoming the limitations posed by limited sMRI data and resource-restricted devices. In addition, we incorporate Efficient Channel Attention (ECA) to capture cross-channel interaction information, enabling us to effectively enhance features of disease associated brain regions. To optimize the model, we employ both cross entropy loss and triplet loss functions to constrain the predicted probabilities to the ground-truth labels, and to ensure appropriate representation of distances between different classes in the learned features. Experimental results show that the classification accuracies of our method for AD vs. CN, AD vs. MCI, and MCI vs. CN classification tasks are 95.00%, 87.50%, and 85.62% respectively. Our method utilizes only 3.42 M parameters and 6.08G FLOPs, while maintaining a comparable level of performance compared to the other 5 latest lightweight methods. This model design is computationally efficient, allowing it to process large amounts of data quickly and accurately in a timely manner. Additionally, it has the potential to advance the intelligent detection of Alzheimer's disease on devices with limited computing capabilities."
(10) Classification of Alzheimer’s Disease using Random Oversampling and Albumentations on Convolutional Neural Network,https://typeset.io/papers/classification-of-alzheimers-disease-using-random-1bq5hdxgl4,"Abstract: Alzheimer’s Disease (AD) is a brain disorder that causes dementia and affects the memory, cognitive, and behavioral function. Early detection for AD can help to reduce the symptoms and slow down AD progression. Deep learning, particularly Convolutional Neural Network (CNN), a component of artificial intelligence, has demonstrated efficacy in resolving image-related issues and has gained widespread use in the analysis of medical images. CNN works well on large datasets, however, in imbalanced datasets, it can perform poorly by misclassifying minority classes. In this study, the random over-sampling technique is used to address the imbalance in the dataset, while Albumentations is used for image augmentation to prevent overfitting. The results demonstrate that the combination of these techniques leads to improved classification performance compared to traditional approaches. The proposed method has the potential to improve the accuracy of AD diagnosis and contribute to the development of effective treatments for this debilitating condition."
