Research Question,Reference Mean,Reference Median,Reference Std Dev,Reference Min,Reference Max,aggregated_similarity_dataFromCon_Statistics.csv Mean,aggregated_similarity_dataFromCon_Statistics.csv Median,aggregated_similarity_dataFromCon_Statistics.csv Std Dev,aggregated_similarity_dataFromCon_Statistics.csv Min,aggregated_similarity_dataFromCon_Statistics.csv Max,aggregated_similarity_dataFromCon_Statistics.csv Mean Diff,aggregated_similarity_dataFromCon_Statistics.csv Median Diff,aggregated_similarity_dataFromCon_Statistics.csv Std Dev Diff,aggregated_similarity_dataFromCon_Statistics.csv Min Diff,aggregated_similarity_dataFromCon_Statistics.csv Max Diff,aggregated_similarity_dataFromTypestt_Statistics.csv Mean,aggregated_similarity_dataFromTypestt_Statistics.csv Median,aggregated_similarity_dataFromTypestt_Statistics.csv Std Dev,aggregated_similarity_dataFromTypestt_Statistics.csv Min,aggregated_similarity_dataFromTypestt_Statistics.csv Max,aggregated_similarity_dataFromTypestt_Statistics.csv Mean Diff,aggregated_similarity_dataFromTypestt_Statistics.csv Median Diff,aggregated_similarity_dataFromTypestt_Statistics.csv Std Dev Diff,aggregated_similarity_dataFromTypestt_Statistics.csv Min Diff,aggregated_similarity_dataFromTypestt_Statistics.csv Max Diff
Explain the process of learning a fused descriptor from 3D object proposals and encoded sentence embeddings,0.50455212,0.50455212,0.007530665,0.49610585,0.5225192,0.464589955,0.464589955,0.035737421,0.45725393,0.53739864,-0.039962165,-0.039962165,0.028206756,-0.03885192,0.014879440000000077,,,,,,,,,,
How does the ScanQA model learn a fused descriptor?,0.45864816,0.45864816,0.022650959,0.4520953,0.5069189,0.4870207,0.4870207,0.032234664,0.42502382,0.52103865,0.028372539999999946,0.028372539999999946,0.009583705,-0.02707148,0.014119750000000098,,,,,,,,,,
What type of data was collected for the ScanQA dataset Provide details about the human-edited question-answer pairs and the nature of the free-form answers,0.515223295,0.515223295,0.017064521,0.48705804,0.53321975,0.33785173,0.33785173,0.1122964393329382,0.29016885,0.54673094,-0.177371565,-0.177371565,0.095231918,-0.19688919,0.013511190000000006,,,,,,,,,,
How do large language models (LLMs) compare with traditional embedding models in capturing semantic similarity between research questions and abstracts?,0.62127288,0.62127288,0.014033625,0.60188586,0.64279187,0.604450575,0.604450575,0.015582522,0.5811036,0.6375556,-0.016822305,-0.016822305,0.001548897,-0.02078226,-0.00523627,,,,,,,,,,
How does domain-specific training affect the performance of semantic similarity models when applied to different datasets?,0.57442015,0.57442015,0.01911167,0.5590507,0.6182847,0.52776986,0.52776986,0.04409985,0.5071333,0.6460309,-0.04665029,-0.04665029,0.024988180485535198,-0.0519174,0.027746199999999943,,,,,,,,,,
How does model interpretability influence the adoption of semantic similarity techniques in academic and industrial settings?,0.5375049,0.5375049,0.008474826,0.528726,0.5509828,0.536814425,0.536814425,0.031421007,0.52143735,0.6198425,-0.000690475,-0.000690475,0.022946180508930804,-0.00728865,0.0688597,,,,,,,,,,
How does the inclusion of contextual information improve the performance of embedding models in determining semantic similarity?,0.59004265,0.59004265,0.01355584,0.579471,0.6260128,0.539110625,0.539110625,0.029734068,0.52847165,0.60417473,-0.050932025,-0.050932025,0.016178228,-0.05099935,-0.02183807,,,,,,,,,,
How does the scale and quality of training data impact the performance of different semantic similarity models?,0.597248265,0.597248265,0.008646734,0.5816493,0.60906386,0.55240524,0.55240524,0.032077498,0.54906577,0.65432775,-0.044843025,-0.044843025,0.023430763746657198,-0.03258353,0.04526389,,,,,,,,,,
"What are the best practices for evaluating semantic similarity models, and how do these practices vary across different application domains?",0.61804113,0.61804113,0.006587741,0.6086594,0.6286482,0.590869015,0.590869015,0.026331061,0.5688664,0.65832424,-0.027172115,-0.027172115,0.01974332,-0.039793,0.029676040000000015,,,,,,,,,,
What are the challenges and limitations of using large language models for semantic similarity in low-resource or specialized domains?,0.56027325,0.56027325,0.020594306,0.55113876,0.62195724,0.5442448550000001,0.5442448550000001,0.02534899,0.52954704,0.61846906,-0.016028395,-0.016028395,0.004754684,-0.02159172,-0.00348818,,,,,,,,,,
What are the implications of fine-tuning pre-trained models on specific datasets for improving semantic similarity?,0.5767365,0.5767365,0.021552323,0.5713487,0.6433215,0.56976892,0.56976892,0.025469916,0.5563705,0.6437895,-0.00696758,-0.00696758,0.003917593,-0.0149782,0.000468,,,,,,,,,,
What are the most effective hybrid approaches for combining large language models and embedding models to enhance semantic similarity detection?,0.6264076,0.6264076,0.010396402,0.6125532,0.6413866,0.5564104999999999,0.5564104999999999,0.024404963,0.5532843,0.6315694,-0.0699971,-0.0699971,0.014008561,-0.0592689,-0.0098172,,,,,,,,,,
